date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:08:53	70151/70151	---M-Z	200	added ('OK')	text/html	etag:%223593-1720571735;gz%22	https://bimbingankopas.com/	C:/My%20Web%20Sites/Data%20pak%20Dudi/bimbingankopas.com/index.html	(from )
09:08:53	170/170	---MCZ	200	added ('OK')	text/plain	etag:%223563-1720544573;gz%22	https://bimbingankopas.com/robots.txt		(from )
09:08:53	261292/261292	---M-Z	200	added ('OK')	text/css	date:Mon,%2020%20May%202024%2005:35:28%20GMT	https://bimbingankopas.com/wp-content/litespeed/css/49002fff3f3f853357f8f72e26d6249c.css?ver=5e9ee	C:/My%20Web%20Sites/Data%20pak%20Dudi/bimbingankopas.com/wp-content/litespeed/css/49002fff3f3f853357f8f72e26d6249cb948.css	(from https://bimbingankopas.com/)
09:08:53	76167/76167	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Apr%202024%2009:53:44%20GMT	https://bimbingankopas.com/wp-content/uploads/2024/01/pondasibisnis.jpg	C:/My%20Web%20Sites/Data%20pak%20Dudi/bimbingankopas.com/wp-content/uploads/2024/01/pondasibisnis.jpg	(from https://bimbingankopas.com/)
09:08:53	7547/7547	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Apr%202024%2009:46:51%20GMT	https://bimbingankopas.com/wp-content/uploads/2024/01/atbs.jpg	C:/My%20Web%20Sites/Data%20pak%20Dudi/bimbingankopas.com/wp-content/uploads/2024/01/atbs.jpg	(from https://bimbingankopas.com/)
09:08:54	7751/7751	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Apr%202024%2009:46:52%20GMT	https://bimbingankopas.com/wp-content/uploads/2024/01/cerdas-finansial-2.jpg	C:/My%20Web%20Sites/Data%20pak%20Dudi/bimbingankopas.com/wp-content/uploads/2024/01/cerdas-finansial-2.jpg	(from https://bimbingankopas.com/)
09:08:54	2053/2053	---M-Z	200	added ('OK')	application/rss+xml	etag:%2290383844725102dd3422eb47ac8dcad0%22	https://bimbingankopas.com/feed/	C:/My%20Web%20Sites/Data%20pak%20Dudi/bimbingankopas.com/feed/index.html	(from https://bimbingankopas.com/)
09:08:54	111144/111144	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Apr%202024%2009:46:56%20GMT	https://bimbingankopas.com/wp-content/uploads/2024/01/sistem-bisnis.jpg	C:/My%20Web%20Sites/Data%20pak%20Dudi/bimbingankopas.com/wp-content/uploads/2024/01/sistem-bisnis.jpg	(from https://bimbingankopas.com/)
09:08:54	15111/15111	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Apr%202024%2009:47:05%20GMT	https://bimbingankopas.com/wp-content/uploads/2024/01/mentalblock.jpeg	C:/My%20Web%20Sites/Data%20pak%20Dudi/bimbingankopas.com/wp-content/uploads/2024/01/mentalblock.jpg	(from https://bimbingankopas.com/)
09:08:54	152877/152877	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Apr%202024%2009:52:42%20GMT	https://bimbingankopas.com/wp-content/uploads/2024/01/testimoni-kopas-1.png	C:/My%20Web%20Sites/Data%20pak%20Dudi/bimbingankopas.com/wp-content/uploads/2024/01/testimoni-kopas-1.png	(from https://bimbingankopas.com/)
